path,size_bytes,category,staging_policy,future_destination,provenance_reference,notes
bugslayer_logo.png,1489185,runtime-approved,stage-runtime,game/public/assets/ui/bugslayer_logo.png,sprite-export/ASSETS.md,Logotipo aprobado
output/fonts/geist-pixel-square/GeistPixel-Square.woff2,28584,runtime-approved,stage-runtime,game/public/assets/fonts/GeistPixel-Square.woff2,output/fonts/geist-pixel-square/README.md,Fuente local oficial
output/fonts/geist-pixel-square/OFL.txt,4387,license-attribution,stage,game/public/assets/fonts/OFL.txt,output/fonts/geist-pixel-square/README.md,Licencia OFL de Geist Pixel Square
output/imagegen/boolean-beetle-concept-sheet.png,2359371,master-concept-source,exclude-first-staging,assets-source/concepts/,ASSET-CLASSIFICATION.md,"Master, concepto o export previo a normalización runtime"
output/imagegen/bug-slayer-ui-system-concept-sheet-v1.png,1969982,master-concept-source,exclude-first-staging,assets-source/concepts/,output/imagegen/bug-slayer-ui-system-concept-sheet-v1.md,"Master, concepto o export previo a normalización runtime"
output/imagegen/cast-hornet-concept-sheet.png,2037119,master-concept-source,exclude-first-staging,assets-source/concepts/,ASSET-CLASSIFICATION.md,"Master, concepto o export previo a normalización runtime"
output/imagegen/initial-office-concept-sheet-v2.png,2118681,superseded-rejected,exclude-from-baseline,,ASSET-CLASSIFICATION.md,Reemplazado o incompatible con el alcance vigente
output/imagegen/initial-office-concept-sheet-v3.png,2097354,superseded-rejected,exclude-from-baseline,,ASSET-CLASSIFICATION.md,Reemplazado o incompatible con el alcance vigente
output/imagegen/initial-office-concept-sheet-v4.png,2267024,master-concept-source,exclude-first-staging,assets-source/concepts/,ASSET-CLASSIFICATION.md,"Master, concepto o export previo a normalización runtime"
output/imagegen/initial-office-concept-sheet.png,2039623,superseded-rejected,exclude-from-baseline,,ASSET-CLASSIFICATION.md,Reemplazado o incompatible con el alcance vigente
output/imagegen/mutable-widow-concept-sheet.png,2021792,master-concept-source,exclude-first-staging,assets-source/concepts/,ASSET-CLASSIFICATION.md,"Master, concepto o export previo a normalización runtime"
output/imagegen/mycelial-monolith-concept-sheet.png,2552989,master-concept-source,exclude-first-staging,assets-source/concepts/,ASSET-CLASSIFICATION.md,"Master, concepto o export previo a normalización runtime"
output/imagegen/parse-mantis-concept-sheet.png,1541288,master-concept-source,exclude-first-staging,assets-source/concepts/,ASSET-CLASSIFICATION.md,"Master, concepto o export previo a normalización runtime"
output/imagegen/parse-mantis-damage-chroma.png,1623017,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/parse-mantis-damage-spritesheet.png,1064096,master-concept-source,exclude-first-staging,assets-source/concepts/,ASSET-CLASSIFICATION.md,"Master, concepto o export previo a normalización runtime"
output/imagegen/parse-mantis-damage-transparent.png,980143,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/parse-mantis-defeat-chroma.png,1594060,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/parse-mantis-defeat-spritesheet.png,1022999,master-concept-source,exclude-first-staging,assets-source/concepts/,ASSET-CLASSIFICATION.md,"Master, concepto o export previo a normalización runtime"
output/imagegen/parse-mantis-defeat-transparent.png,953238,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
